Average DTW Distance for label '85. Night'; 68.18
Average DTW Distance for label '12. Peace'; 136.22
Average DTW Distance for label '9. Technology'; 126.15
Average DTW Distance for label '11. War'; 132.65
Average DTW Distance for label '14. Election'; 187.24
Average DTW Distance for label '13. Attack'; 197.62
Average DTW Distance for label '10. Energy'; 122.59
Average DTW Distance for label '15. Newspaper'; 149.11
Average DTW Distance for label '16. Gun'; 165.10
Average DTW Distance for label '52. Lamp'; 128.47
Average DTW Distance for label '51. Clock'; 146.82
Average DTW Distance for label '53. Fan'; 132.62
Average DTW Distance for label '55. Computer'; 152.22
Average DTW Distance for label '54. Cell phone'; 83.43
Average DTW Distance for label '43. Lock'; 118.70
Average DTW Distance for label '42. Paper'; 157.86
Average DTW Distance for label '39. Key'; 185.24
Average DTW Distance for label '45. Bag'; 143.24
Average DTW Distance for label '40. Paint'; 148.05
Average DTW Distance for label '41. Letter'; 161.55
Average DTW Distance for label '44. Telephone'; 113.33
Average DTW Distance for label '22. Restaurant'; 59.56
Average DTW Distance for label '20. Street or Road'; 93.29
Average DTW Distance for label '18. City'; 109.42
Average DTW Distance for label '21. Train Station'; 97.55
Average DTW Distance for label '19. House'; 91.88
Average DTW Distance for label '97. dry'; 107.34
Average DTW Distance for label '98. sick'; 101.87
Average DTW Distance for label '99. healthy'; 109.16
Average DTW Distance for label '6. Mouse'; 213.21
Average DTW Distance for label '8. Animal'; 255.90
Average DTW Distance for label '7. Horse'; 221.17
Average DTW Distance for label '70. Grandmother'; 178.52
Average DTW Distance for label '72. Wife'; 128.78
Average DTW Distance for label '69. Grandfather'; 157.57
Average DTW Distance for label '73. King'; 125.45
Average DTW Distance for label '71. Husband'; 137.57
Average DTW Distance for label '68. Family'; 130.96
Average DTW Distance for label '5. Cow'; 190.85
Average DTW Distance for label '3. Fish'; 239.08
Average DTW Distance for label '2. Cat'; 193.71
Average DTW Distance for label '1. Dog'; 256.43
Average DTW Distance for label '4. Bird'; 208.38
Average DTW Distance for label '79. Child'; 125.07
Average DTW Distance for label '80. Adult'; 203.27
Average DTW Distance for label '83. Crowd'; 99.54
Average DTW Distance for label '82. Player'; 120.38
Average DTW Distance for label '81. Friend'; 135.58
Average DTW Distance for label '24. School'; 84.76
Average DTW Distance for label '27. Park'; 96.86
Average DTW Distance for label '25. Office'; 57.11
Average DTW Distance for label '26. University'; 46.82
Average DTW Distance for label '23. Court'; 101.04
Average DTW Distance for label '60. Radio'; 92.37
Average DTW Distance for label '57. Screen'; 116.82
Average DTW Distance for label '58. Camera'; 60.45
Average DTW Distance for label '59. Television'; 92.03
Average DTW Distance for label '56. Laptop'; 130.11
Average DTW Distance for label '51. Good Morning'; 74.35
Average DTW Distance for label '50. Alright'; 121.89
Average DTW Distance for label '52. Good afternoon'; 66.61
Average DTW Distance for label '49. How are you'; 115.33
Average DTW Distance for label '48. Hello'; 58.91
Average DTW Distance for label '59. Daughter'; 136.81
Average DTW Distance for label '61. Father'; 125.67
Average DTW Distance for label '60. Mother'; 128.13
Average DTW Distance for label '62. Parent'; 162.13
Average DTW Distance for label '58. Son'; 137.24
Average DTW Distance for label '80. tall'; 82.86
Average DTW Distance for label '39. famous'; 43.90
Average DTW Distance for label '81. wide'; 137.83
Average DTW Distance for label '78. long'; 123.67
Average DTW Distance for label '36. light'; 81.91
Average DTW Distance for label '79. short'; 87.54
Average DTW Distance for label '3. Medicine'; 151.34
Average DTW Distance for label '4. Money'; 115.56
Average DTW Distance for label '6. Marriage'; 143.70
Average DTW Distance for label '2. Death'; 166.43
Average DTW Distance for label '7. Team'; 137.40
Average DTW Distance for label '5. Bill'; 147.35
Average DTW Distance for label '8. Race (ethnicity)'; 143.96
Average DTW Distance for label '1. Religion'; 255.69
Average DTW Distance for label '25. Chair'; 129.47
Average DTW Distance for label '27. Dream'; 200.75
Average DTW Distance for label '26. Bed'; 172.43
Average DTW Distance for label '30. Bedroom'; 226.54
Average DTW Distance for label '28. Window'; 202.53
Average DTW Distance for label '29. Door'; 170.67
Average DTW Distance for label '24. Table'; 135.43
Average DTW Distance for label '41. you'; 60.49
Average DTW Distance for label '43. she'; 75.20
Average DTW Distance for label '40. I'; 62.05
Average DTW Distance for label '44. it'; 71.98
Average DTW Distance for label '42. he'; 69.64
Average DTW Distance for label '21. tight'; 65.80
Average DTW Distance for label '11. rich'; 63.04
Average DTW Distance for label '20. female'; 29.72
Average DTW Distance for label '15. expensive'; 53.44
Average DTW Distance for label '19. male'; 46.26
Average DTW Distance for label '13. thick'; 53.45
Average DTW Distance for label '16. cheap'; 45.84
Average DTW Distance for label '12. poor'; 80.38
Average DTW Distance for label '22. loose'; 115.84
Average DTW Distance for label '18. curved'; 49.72
Average DTW Distance for label '14. thin'; 28.42
Average DTW Distance for label '9. Nice'; 19.62
Average DTW Distance for label '10. Mean'; 37.44
Average DTW Distance for label '17. flat'; 84.52
Average DTW Distance for label '46. Box'; 171.22
Average DTW Distance for label '47. Gift'; 121.21
Average DTW Distance for label '48. Card'; 129.78
Average DTW Distance for label '49. Ring'; 120.83
Average DTW Distance for label '50. Tool'; 159.73
Average DTW Distance for label '18. Exercise'; 151.98
Average DTW Distance for label '19. Ball'; 170.75
Average DTW Distance for label '23. God'; 181.74
Average DTW Distance for label '22. Science'; 148.93
Average DTW Distance for label '21. Sign'; 181.03
Average DTW Distance for label '20. Price'; 138.62
Average DTW Distance for label '17. Sport'; 161.54
Average DTW Distance for label '86. fast'; 81.59
Average DTW Distance for label '82. narrow'; 146.70
Average DTW Distance for label '85. slow'; 137.32
Average DTW Distance for label '84. small little'; 98.92
Average DTW Distance for label '83. big large'; 106.47
Average DTW Distance for label '34. Ground'; 86.39
Average DTW Distance for label '35. Bank'; 76.97
Average DTW Distance for label '36. Location'; 116.38
Average DTW Distance for label '33. India'; 47.74
Average DTW Distance for label '47. they'; 83.81
Average DTW Distance for label '45. we'; 104.45
Average DTW Distance for label '46. you (plural)'; 84.52
Average DTW Distance for label '54. Good night'; 77.59
Average DTW Distance for label '56. Pleased'; 73.58
Average DTW Distance for label '53. Good evening'; 76.91
Average DTW Distance for label '55. Thank you'; 92.65
Average DTW Distance for label '50. Yellow'; 104.21
Average DTW Distance for label '51. Brown'; 122.45
Average DTW Distance for label '47. Red'; 135.16
Average DTW Distance for label '49. Blue'; 103.06
Average DTW Distance for label '48. Green'; 125.49
